# x y z vx vy vz lxvel lyvel lzvel Potential U rho
0.197841 -0.334675 -0.006301 37.935081 50.547173 -42.920654 -41.375957 61.158730 -39.054111 -160478.359375 799.269592 0.008222
0.028122 -0.292692 -0.179739 8.738984 -72.183517 -54.832512 -53.287811 -61.571960 -9.858014 -161391.890625 612.000549 0.004106
-0.082185 0.268963 -0.075628 -90.158264 -8.068642 45.169483 46.714180 2.542915 89.039238 -163148.453125 1348.334473 0.025123
-0.035132 0.340589 -0.105576 -63.455559 -29.019012 38.148006 39.692703 -18.407455 62.336529 -161643.781250 1829.059326 0.052296
0.247419 -0.012840 -0.281491 -24.059174 70.067261 -7.663891 -6.119194 80.678818 22.940144 -160314.359375 975.768433 0.012322
0.185544 0.203595 -0.202262 -75.257133 39.364048 22.661522 24.206219 49.975605 74.138107 -162128.859375 1657.647217 0.040994
0.337152 -0.194215 0.011212 15.815629 54.152775 -36.673435 -35.128738 64.764328 -16.934660 -159784.359375 967.297119 0.012099
0.040503 -0.354484 -0.074278 54.150040 23.375675 -40.397972 -38.853275 33.987232 -55.269070 -160496.312500 1402.029541 0.027502
0.026630 0.338105 -0.149461 -62.476616 -14.379356 36.245365 37.790062 -3.767799 61.357586 -161300.406250 2061.416748 0.071008
-0.063480 0.337416 -0.080276 -67.480377 -29.053299 40.824940 42.369637 -18.441742 66.361351 -161727.890625 1695.577271 0.043328
0.067765 0.233364 -0.274863 -70.121674 20.582119 20.262199 21.806896 31.193676 69.002647 -160796.390625 1486.630127 0.031557
0.021766 0.340468 -0.021826 -83.014061 -20.422440 26.864632 28.409328 -9.810883 81.895035 -161899.218750 1388.962646 0.026909
0.007747 0.377781 -0.118612 -59.479931 -23.601784 31.891644 33.436340 -12.990227 58.360901 -160912.640625 1869.075806 0.055226
0.127762 0.286953 -0.163022 -74.525650 -0.701431 37.914684 39.459381 9.910126 73.406624 -161867.531250 1894.814209 0.057172
-0.112333 0.396576 -0.095605 -58.274960 -14.136452 18.565472 20.110168 -3.524895 57.155930 -159810.562500 1380.302490 0.026521
