x,y,z,Rs,vx,vy,vz,rho_resta_final_exp
0.5709149618721757,-0.4754484668219062,0.11850179312226095,0.7429637530141084,80.78552068450114,82.75075360840637,-13.802209843949054,6.0080470793588183e-05
0.07676087224589112,-0.740909319896947,-0.1389777274813973,0.7448750578574279,106.227207339763,31.769974194685588,16.729080518376517,5.545582877007961e-05
0.18720331742083493,-0.7015196332111671,-0.1512841178772704,0.7260680944884551,101.27120636156782,55.19058641462489,16.841359672199815,3.8268694737955085e-05
0.06330993355130074,0.7962944824645983,0.07907493496151398,0.7988072674242721,-115.4204953600882,1.107334972962118,7.349437306175924,5.468106293906919e-05
0.6436244992072561,0.3790498410761908,0.22224763576093096,0.746947975430469,-58.877338205540845,104.52210568134554,9.595661470053356,3.594570498283592e-05
-0.4135040480791719,0.7181517351007265,0.1487915372390305,0.8286902391159474,-97.84253842749183,-49.356721373059045,0.7043220394000788,3.886484917250348e-05
0.71790921848502,-0.1032730866472646,0.18959049014012955,0.7252992323251318,39.16865302520385,117.2352727871138,-5.447266414825841,5.2140633203871896e-05
-0.0489377581924789,0.7990075949092565,0.11234201072804403,0.8005048662560273,-115.18541869435072,-17.605234804276353,7.167049811598329,5.844057340563163e-05
-0.7323292940963584,-0.1314452812182416,0.11417194132880015,0.7440322956338744,35.978234152034936,-121.58102878610623,-10.419599622087992,3.3915113461026134e-05
-0.7666467071370234,0.17840771484982745,-0.058605571501537876,0.787131809979738,-11.32643730479105,-120.01981759950745,14.267409183525007,5.8727239861275104e-05
-0.13719793742559305,-0.7812690080015118,-0.15376888680255468,0.7932241403900308,113.91176479194316,0.9196082948203916,21.518604430970353,4.775826624040418e-05
-0.6201075893250529,-0.4311091724662856,0.04814726922584701,0.7552407172041865,83.98572571146998,-96.21533873288787,-9.667950924639367,4.998955293619665e-05
-0.2874199887989777,0.7643296334485639,0.2071339124701204,0.8165843731843149,-101.18181696649,-41.736624743497494,11.423101571850259,4.3490633238821777e-05
-0.7544612205052788,0.2160380967102027,0.0973231985012744,0.7847828951222636,-30.91832410708147,-122.42632896780263,-11.96466294485761,4.763966555006747e-05
-0.6387694727402624,0.5408000843821353,0.11509667622656472,0.8369535056217864,-78.03576364809763,-87.7069557028385,-7.468751886020019,3.8918546417395776e-05
-0.6718259292186801,0.5074647179284671,-0.06547291355391334,0.8419444869543132,-44.149806230579856,-107.8378527571506,34.20974947963192,4.5261842479750506e-05
-0.7264883526422572,0.3904166850913505,0.12585572908859038,0.824748758424394,-53.66244589895133,-112.41773086747702,-11.840172214301775,4.775811569999659e-05
-0.4627549355270708,-0.6593884658032023,0.1217825545266472,0.8055651923891476,110.09357843049706,-70.71396390339744,-10.285676123381176,4.547371399195825e-05
0.6595827506672878,-0.3752046650872145,-0.08981569277117342,0.7588332792392769,46.6549575585345,131.89557984292736,24.814058327806386,4.2919535442845044e-05
-0.2287849344583528,-0.8190531402172154,-0.1540899105204672,0.8504061339941019,117.8693945001078,-23.20146382078739,12.649329430658838,5.455273747292946e-05
0.006497708018078149,-0.8529234955096485,-0.1439967926834296,0.8529482454415893,121.3854717813932,16.78382042895603,13.944318632270448,4.2007800166602505e-05
-0.8464051032971283,0.12195434390288215,-0.10863635667121492,0.8551458711145162,0.8859014869262019,-120.5154321415741,15.96486884148896,4.209461207582706e-05
-0.11944271422958655,0.9440976637515844,0.0661555356132007,0.9516233292031729,-112.17869878925931,-18.460804375707287,5.425795140751307,5.563847834110479e-05
-0.5616429673826536,-0.6252630060401443,0.14867452867673753,0.8404740623795299,98.42143742924728,-85.51709011780135,-9.37739123372056,3.6954169559755124e-05
0.7733076542605514,-0.30622161241502505,0.10438706162157158,0.8317309685517393,51.386282366719094,116.44305543897663,-11.414890765399823,4.330120122463676e-05
0.7533647251771461,0.3831856625943077,0.15064533332275695,0.8452157482909766,-48.28769128928872,118.47504569656236,11.157614645251256,3.0162479228943343e-05
