x,y,z,vx,vy,vz,lxvel,lyvel,lzvel,Potential,U,rho,Rs,Zs,rho_sph_log,deltaRho,rho_resta1,rho_resta_final,rho_resta_final_exp
-0.35275899648928577,-1.2150756775950449,0.13190577345520196,60.33173443242636,-20.84161965859953,-68.19697078481796,-24.433861,-79.518005,-51.180664,-709649.625,336.280426,0.001842,1.2652461467584817,0.13190577345520196,-2.73471037413917,0.5494022711586579,-4.747324865371345,-4.747324865371345,1.7892669276905724e-05
-0.11155864470985884,1.0265557983850435,-0.6959226520429876,-29.69896260515285,-30.09959237585502,59.78994243802568,64.28286700000001,11.747986,40.316589,-707101.625,280.67086800000004,0.001362,1.032599699015768,-0.6959226520429876,-2.8658228924232336,0.13876422559082924,-4.8711340865046395,-4.8711340865046395,1.3454448897509312e-05
-0.04323623169218941,-1.3695710439595512,0.0841328272590716,55.247808510397185,-10.436390188506046,-62.0161539092414,-24.6866,-66.395813,-51.42926,-708732.3125,307.336243,0.001588,1.3702533401467758,0.0841328272590716,-2.7991495019089228,0.29972762196988456,-4.815060405975783,-4.815060405975783,1.5308745176905885e-05
0.2980167519639322,-1.0929728188866157,-0.4870417440116536,63.6856863185109,52.62098868094271,-58.7231185052997,-44.475624,-19.212677,-89.382141,-710099.0,330.238739,0.001788,1.1328740297473885,-0.4870417440116536,-2.7476324855401013,0.43581603487321474,-4.756091517213841,-4.756091517213841,1.7535109522551134e-05
0.07665668492260612,0.9525053782173138,-0.3752599641818564,-88.72481289455864,-6.059609109876617,65.12073930393733,42.120834,56.51944,80.250916,-710595.9375,326.664825,0.001756,0.9555850265027345,-0.3752599641818564,-2.755475488429916,0.5001887135536318,-4.758369018094825,-4.758369018094825,1.7443393656294074e-05
-0.5356928641009887,0.8407344115607761,-0.15454090651292002,-36.253457963547284,-74.19185274008366,71.22620201028919,89.87674,-14.264679,68.355347,-710540.375,314.123108,0.0016469999999999998,0.9968957796235095,-0.15454090651292002,-2.7833064008302455,0.3988518638190284,-4.787496768286965,-4.787496768286965,1.631185047310606e-05
-0.22390348191237572,-1.1752663688168523,-0.08770076640807792,75.53818719526339,13.299986040231,-69.56355574969638,-34.783272,-59.748505,-81.194153,-710319.875,279.685638,0.001353,1.1964045331259971,-0.08770076640807792,-2.868702203402377,0.10478734854875271,-4.879155600985477,-4.879155600985477,1.3208223192239968e-05
0.4251824298349076,-0.9715639943437092,-0.6540228061586083,68.11545005316228,66.72013890190732,-49.63736276704008,-40.897438,-5.592438,-99.51355,-710558.4375,324.655914,0.001739,1.0605266115215681,-0.6540228061586083,-2.7597004179972875,0.4327824560598983,-4.765888300902066,-4.765888300902066,1.7143981883279234e-05
-0.4411388945166038,-1.1229211668962968,0.3165655996534175,58.17719123934178,-36.588178854175865,-65.46771014622645,-16.417519,-89.544662,-41.421082,-709589.0,290.289795,0.001443,1.2064640364797752,0.3165655996534175,-2.840733668906506,0.18437134831619217,-4.8515028570073415,-4.8515028570073415,1.4076579680503213e-05
-0.006583155827493672,-1.1126615802495985,-0.5274598660294614,71.67207989705086,43.87049645792911,-42.431443304603135,-24.49263,-21.216522,-90.943176,-709250.5,307.248779,0.001587,1.1126810549767543,-0.5274598660294614,-2.7994230732451517,0.2789613668317661,-4.807248201858953,-4.807248201858953,1.5586614640107046e-05
0.12331936767577968,-1.4293962343257702,-0.014384759586233788,50.03431879701692,-3.3846439784972184,-61.54924859373267,-28.610405,-58.618774,-50.312561,-708075.5625,280.364136,0.001359,1.4347059842172005,-0.014384759586233788,-2.8667805432675055,0.047440560826619294,-4.884714761321604,-4.884714761321604,1.3040229617105119e-05
0.2076859823487508,-1.2453665266765852,-0.2523637586705603,61.38983449252449,30.359940910006667,-67.56403737200024,-43.967491,-39.89682,-77.098206,-709466.0625,313.230133,0.001639,1.262565346043787,-0.2523637586705603,-2.785421046429501,0.37785794435799036,-4.797951381275832,-4.797951381275832,1.5923869828046914e-05
-0.1897995213917691,-1.1260545520435077,-0.2460247313555098,78.02474166846558,32.75420966506382,-61.484253338244706,-34.780159000000005,-41.690918,-92.322876,-710310.25,337.52478,0.001853,1.1419381386478207,-0.2460247313555098,-2.7321245806811025,0.48765603819880665,-4.740868155193768,-4.740868155193768,1.81606690774239e-05
-0.7656089127591441,-1.0774184762669488,0.07627914571733868,69.55750169789353,-17.729891444699664,-37.163190374833455,4.0061800000000005,-65.600555,-58.621216,-708162.5,286.052155,0.001407,1.3217365774985697,0.07627914571733868,-2.8517059025652545,0.17993927222645612,-4.866093755935011,-4.866093755935011,1.3611508041240108e-05
