limit_theta,limit_r,selected_theta,selected_r,selected_x,selected_y,source
,,-188.52696448961726,3.3039403179167377,-3.267419195681778,0.4898912369557091,theta1
,,-213.39167747922525,3.4164368775297866,-2.8524781763879568,1.8802683828049431,theta1
,,-218.96137363559117,3.3978747701106906,-2.642085640342798,2.1365711835670638,theta1
,,-210.91327739730008,3.3543343574421693,-2.877837333936404,1.7232560056238844,theta1
,,-206.13963317805764,3.4325283936593136,-3.0814598315007853,1.5122355901527187,theta1
,,-208.8210192535379,3.4120195007623697,-2.989372260493868,1.6448497079588975,theta1
,,-219.73177698411837,3.4846528054544033,-2.679855401488564,2.2273706924698926,theta1
,,-197.45213261023636,3.4866047104586904,-3.3261087666983653,1.0456638461212129,theta1
,,-221.9002857099129,3.5009947294776036,-2.605819141400996,2.338091251028953,theta1
,,-216.33202332436554,3.4953219873174035,-2.81582186072172,2.0708508018942733,theta1
,,-202.58270226315372,3.4288289955688933,-3.165927628899253,1.3167272038757072,theta1
,,-222.9125175463969,3.503119936372113,-2.5656645922345467,2.3852074309715063,theta1
,,-181.71797534826243,3.392164614480884,-3.3906398492643604,0.10169653050522988,theta1
,,-192.3824206158785,3.469786878024984,-3.389073101823268,0.7440460264072241,theta1
,,-215.91506202856488,3.511818451267564,-2.8441777455851964,2.05998101597593,theta1
,,-221.00598458371513,3.5947725682747076,-2.7127629464678504,2.3586663634120457,theta1
,,-225.9762963647082,3.5044070430898215,-2.43540837351973,2.5198521341236533,theta1
,,-190.49582645377814,3.389981525775985,-3.3332609629746477,0.6175322645917369,theta1
,,-224.05930091749843,3.5202781118608883,-2.52974382808208,2.4480102428559167,theta1
,,-228.20785255757363,3.47289835313122,-2.3144446714794467,2.58927959746373,theta1
,,-199.7855573020283,3.510263877186356,-3.3030394004217363,1.1882269171925894,theta1
,,-209.28295747735336,3.629453053250973,-3.165662668036968,1.7752490918037032,theta1
,,-247.0372565470107,3.622750406703685,-1.4133526302415726,3.3356790690743834,theta1
,,-185.50902140640264,3.396339951836425,-3.380652579584839,0.32605705725627904,theta1
,,-217.78333575756938,3.6323780288625893,-2.87078909810964,2.2254752523311763,theta1
